Name,RAJ2000,DEJ2000,Maj. Diam (arcmin),Bmag,Kmag,HRV (km/s),D (Mpc),Maj. Diam (kpc),inclination,BMag
NGC3432,163.1295833,36.61888889,5.37,11.67,9.06,611,9.2,13.7,80,-19
LV J1052+3639,163.17,36.665,1.68,15.8,13.4,511,9.2,4.38,90,-14.1
MRK0475,219.7725,36.80611111,0.45,16.41,14.01,583,9.2,1.19,47,-13.5
UGC7719,188.5025,39.01944444,2.14,15.25,12.59,679,9.2,5.53,75,-14.6
UGC07320,184.36875,44.81138889,1.2,15.4,13,541,9.2,3.15,81,-14.5
NGC0045,3.51625,-23.18222222,8.51,11.55,9.09,465,9.2,22.88,47,-18.5
UGC07584,187.0120833,22.58944444,0.91,16.19,13.75,603,9.2,2.43,72,-13.7
KK167,192.935,26.11055556,0.85,16.39,14,1248,9.2,2.27,50,-13.5
AGC749241,190.0070833,26.32194444,0.34,18.3,15.9,451,9.2,0.91,37,-11.6
NGC0925,36.81666667,33.57805556,11.75,10.58,7.87,553,9.29,33.32,57,-19.9
NGC1637,70.3675,-2.858055556,4.37,11.47,7.98,713,9.29,12.12,39,-18.7
DDO025,38.32583333,33.49111111,2.57,13.96,10.98,604,9.3,7.57,23,-16.3
d0226+3325,36.72,33.42694444,1.66,17.5,14.86,520,9.3,4.8,26,-12.7
Halogas,36.83333333,33.95833333,0.43,18,15.35,528,9.3,1.23,47,-12.2
DDO019,36.25083333,36.03777778,2.14,15.8,13.14,577,9.3,6.1,46,-14.4
DDO022,38.225,38.68055556,1.74,15.65,13.11,570,9.3,4.69,90,-14.4
UGC02172,40.545,43.35527778,1.41,14.6,12.37,565,9.3,4.13,61,-15.7
KKSG33,190.0370833,-12.36472222,0.5,18.5,14.22,,9.3,1.44,10,-11.5
KKSG34,190.32875,-11.9275,0.69,18,13.69,,9.3,1.99,34,-12.1
KKSG32,189.9791667,-11.74666667,0.6,18.5,14.21,,9.3,1.72,41,-11.6
SUCD1,190.0129167,-11.66777778,0.1,18.4,14.7,1305,9.3,0.27,18,-11.5
NGC4594,189.99625,-11.62305556,11.75,8.98,4.96,1090,9.3,32.46,66,-21.8
KKSG31,189.6404167,-10.49027778,0.79,17.7,13.48,,9.3,2.22,34,-12.3
IC0559,146.1829167,9.615277778,1.32,14.98,12.52,541,9.4,3.66,48,-15
UGC07983,192.4458333,3.842222222,0.81,16.2,13.69,694,9.4,2.28,54,-13.9
VCC0169,183.9841667,9.649166667,0.85,16.67,14.25,2219,9.4,2.33,54,-13.3
KDG104,185.36625,15.02444444,0.81,16.88,14.4,1861,9.4,2.25,55,-13.1
LSBC D634-03,137.2229167,14.58194444,0.47,17.5,15,335,9.55,1.34,32,-12.6
NGC4460,187.1908333,44.86444444,4.27,12.26,9.06,499,9.59,11.54,90,-17.7
UGC00064,1.933333333,40.87555556,1.66,15.5,12.84,305,9.6,4.87,66,-14.8
CGCG 014-054,187.7658333,1.675833333,1.27,15.6,13.18,1105,9.6,3.53,64,-14.4
VCC0565,185.6604167,6.014444444,0.58,15.86,13.42,871,9.6,1.61,62,-14.2
NGC3115,151.3083333,-7.718611111,8.51,9.87,5.88,681,9.68,24.04,90,-20.8
DDO217,352.4945833,40.99027778,5.25,12.84,9.6,424,9.7,16.8,35,-17.8
NGC4517,188.1895833,0.115,12.02,11.09,7.33,1134,9.7,31.95,90,-20.2
NGC4765,193.31,4.463055556,1.86,13.37,10.82,722,9.7,5.39,49,-16.8
KKSG16,149.9479167,-9.343333333,0.87,18,13.62,,9.7,2.67,48,-12.2
KKSG18,151.4233333,-7.981388889,1.51,13.61,10.05,698,9.7,4.45,41,-16.6
KDG065,151.3933333,-7.749166667,1.07,16.36,12.23,721,9.7,3.01,59,-13.6
KKSG17,150.41,-8.248888889,1.66,15.41,12.82,446,9.7,4.65,90,-14.8
MCG -01-26-009,150.39,-6.525,1.12,16.1,13.61,748,9.7,3.24,44,-14
UGCA193,150.6508333,-6.011944444,4.27,14.67,12,663,9.7,11.23,90,-15.8
KKSG15,148.79375,-6.27,1.29,15.14,12.63,791,9.7,3.56,90,-15
UGC7427,185.4791667,35.05138889,1.07,15.9,13.5,726,9.7,3,61,-14.1
NGC0855,33.51541667,27.87722222,3.09,13.3,9.83,591,9.73,8.91,85,-17
NGC0891,35.63666667,42.34666667,13.18,10.71,5.94,526,9.77,37.89,82,-20.5
DDO024,38.42916667,40.52805556,2.62,13.68,10.86,581,9.8,7.8,36,-16.5
DDO068,149.1904167,28.825,2,14.77,12.82,503,9.8,5.56,90,-15.3
NGC4534,188.5229167,35.51833333,3.02,13.2,11.21,802,9.8,8.56,49,-16.9
IC3591,189.2625,6.926666667,1.29,14.39,11.6,1632,9.8,3.68,62,-15.7
VCC2033,191.51875,8.476388889,0.55,15.3,12.45,1485,9.8,1.59,27,-14.8
ESO300-014,47.4075,-41.03055556,7.08,13.06,10,955,9.8,19.96,60,-17.1
KK73,138.1220833,-24.24111111,0.62,16.35,10.62,,9.8,2.22,68,-14.5
NGC2784 dw01,138.0770833,-24.21111111,0.89,17.27,12.36,,9.8,3.29,33,-13.6
KK72,137.92625,-23.98222222,0.45,18,13.17,,9.8,1.6,41,-12.8
KK71,137.2954167,-23.36777778,0.4,17.7,12.9,,9.8,1.41,48,-13
DDO056,137.4441667,-23.00916667,1.29,15.63,12.6,724,9.8,4.23,52,-15.1
IC4951,302.3825,-61.85055556,3.24,13.97,10.98,814,9.8,8.94,83,-16.4
NGC2784,138.0808333,-24.17166667,5.5,11.24,6.33,687,9.82,19.27,90,-19.7
DDO092,168.35875,53.595,1.38,15.6,13.2,928,9.9,3.98,44,-14.4
NGC3556,167.8791667,55.67388889,5.01,10.69,7.04,696,9.9,13.86,80,-20.2
NGC0024,2.485,-24.96333333,7.24,12.38,8.96,550,9.9,19.98,85,-18.3
ESO473-024,7.84375,-22.76583333,1.55,16.38,13.96,530,9.9,4.44,63,-13.7
IC2171,101.11375,-17.9325,1.91,15.17,10.81,789,9.9,7.59,81,-16.7
UGCA294,191.15875,28.4725,1.1,14.82,12.41,955,9.9,3.13,65,-15.2
ESO273-014,224.62625,-47.69861111,3.8,12.9,9.79,1050,9.9,14.39,44,-18.6
KKH65,162.99625,28.3625,0.58,17.4,13.23,,10,1.7,35,-12.7
KK227,209.0420833,40.30333333,0.71,17.5,13.36,,10,2.06,42,-12.5
BTS142,188.2808333,38.11611111,0.33,18.44,16.04,719,10,0.97,13,-11.6
KK194,199.33125,44.39666667,0.63,17.6,15.19,,10,1.82,64,-12.5
NGC2283,101.4695833,-18.21027778,3.63,12.93,8.83,841,10,14.96,41,-18.9
KKSG9,101.7370833,-17.94138889,0.5,16.4,11.66,693,10,2.17,52,-15.7
NGC1744,74.9925,-26.02666667,6.92,11.71,9.78,741,10,20.41,58,-18.8
ESO486-021,75.83208333,-25.42305556,1.51,14.37,11.43,831,10,4.49,46,-15.8
LV J1235-1104,188.9141667,-11.06722222,0.43,15.7,13.18,1110,10,1.29,29,-14.5
KDG058,145.1125,0.0425,0.66,17.2,14.62,,10,2.01,44,-13.1
KKH67,170.7645833,21.32694444,0.71,18.4,14.21,,10,2.1,42,-11.7
NGC3351,160.9904167,11.70361111,7.24,10.58,6.67,777,10.05,21.39,49,-19.8
NGC4597,190.05375,-5.799166667,5.56,12.58,11.68,1039,10.1,16.22,64,-17.8
NGC4509,188.2783333,32.09166667,0.91,14.1,11.5,934,10.1,2.68,46,-16
NGC7462,345.6966667,-40.835,5.5,12.53,9.65,1057,10.1,15.2,90,-18.2
DDO052,127.11875,41.85666667,1.74,15.27,12.37,396,10.28,5.23,72,-15
NGC3627,170.0625,12.99138889,10.23,9.65,5.88,716,10.28,30.58,66,-21.1
NGC3990,179.3983333,55.45861111,1.69,13.43,9.55,696,10.3,5.02,65,-16.7
IC2684,169.2541667,13.09972222,0.81,16.15,13.69,588,10.3,2.47,47,-14
IC2791,170.9066667,12.89583333,0.58,16.9,14.45,666,10.3,1.74,54,-13.3
AGC213436,170.6,12.97944444,0.52,16.7,12.5,626,10.3,1.61,13,-13.5
IC2787,170.8295833,13.62972222,1.07,15.7,13.23,708,10.3,3.29,24,-14.5
HIPASS J0916-23b,139.2416667,-23.27972222,0.66,15.84,13.06,837,10.3,2.11,90,-14.7
NGC2835,139.4704167,-22.35527778,8.91,11.01,7.92,885,10.3,28.9,49,-19.7
AGC198508,140.7375,24.94666667,0.38,17.8,15.3,519,10.4,1.16,65,-12.5
KKSG38,193.3816667,-5.927777778,0.87,17,14.51,1071,10.4,2.64,78,-13.2
UGC06014,163.4279167,9.728055556,1.2,15,12.49,1133,10.4,3.67,65,-15.3
CGCG 066-109,166.1104167,11.755,1.05,16.2,13.8,777,10.4,3.05,90,-14
LeG03,158.9533333,8.479722222,0.95,17.3,14.6,1158,10.4,2.79,79,-12.9
AGC200499,159.5333333,10.38083333,0.85,14.4,11.56,1175,10.4,2.62,44,-15.9
LeG28,163.2529167,10.37916667,0.68,18.3,15.85,,10.4,2.04,72,-11.9
LeG22,162.4045833,11.35166667,0.56,18,15.53,,10.4,1.72,56,-12.2
AGC202456,163.08125,11.04333333,0.72,16.2,12.01,824,10.4,2.23,30,-14
LSBC D640-14,164.54375,11.99916667,0.48,18.5,14.34,,10.4,1.45,59,-11.7
LSBC D640-13,164.0583333,12.01027778,0.58,16.9,14.48,989,10.4,1.73,65,-13.3
LSBC D640-12,163.9879167,12.33888889,0.45,18.4,15.98,847,10.4,1.34,72,-11.8
LeG16,161.625,11.75583333,0.29,19,14.8,,10.4,0.9,13,-11.2
KK96,162.6129167,12.36083333,0.6,18.3,14.1,,10.4,1.87,45,-11.9
