Name,RAJ2000,DEJ2000,Maj. Diam (arcmin),Bmag,Kmag,HRV (km/s),D (Mpc),Maj. Diam (kpc),inclination,BMag
Segue 1,151.7633333,16.07361111,7,16.21,11.98,206,0.02,0.05,90,-0.7
Segue 3,320.3791667,19.11722222,1.3,15.9,11.43,,0.02,0.01,58,-0.6
Sag dSph,283.7629167,-30.47833333,446.68,4.5,-0.2,140,0.02,3.08,90,-12.7
Segue 2,34.81666667,20.17527778,5.4,16.2,11.36,-39,0.03,0.07,39,-2.3
UMa II,132.875,63.13,25.3,14.8,10.35,-116,0.03,0.25,80,-3.1
Willman1,162.3375,51.05,3.7,16.04,11.89,-12,0.04,0.04,74,-1.9
BootesII,209.5,12.83333333,6.7,16.32,12.15,-117,0.04,0.08,51,-1.9
ComaI,186.7458333,23.90416667,9.5,14.98,10.81,98,0.04,0.12,66,-3.2
BootesIII,209.2808333,26.775,56,12.6,8.41,198,0.05,0.77,64,-5.9
LMC,80.89416667,-69.75611111,645.65,0.91,-1.75,278,0.05,10.06,35,-17.9
UMin,227.2970833,67.21444444,30.2,11.9,7.67,-255,0.06,0.53,90,-7.1
SMC,13.15833333,-72.80027778,380.19,2.7,0.16,158,0.06,7.09,58,-16.5
BootesI,210,14.5,20,13.66,9.49,99,0.07,0.38,64,-5.5
Draco,260.0058333,57.90944444,35.48,10.9,6.69,-296,0.08,0.84,59,-8.7
SexDSph,153.2625,-1.614444444,30.2,11.3,7.01,227,0.09,0.83,64,-8.7
Sculptor,15.03916667,-33.70916667,39.81,10.05,5.9,105,0.09,1.04,60,-9.8
UMa I,158.72,51.92,18,15.29,11.12,-55,0.1,0.5,90,-4.8
Carina,100.4029167,-50.96611111,24.55,11.3,6.95,224,0.1,0.76,62,-9
Fornax,39.97791667,-34.52583333,17.78,9.28,5.13,29,0.14,0.72,58,-11.5
Hercules,247.7583333,12.79166667,13.5,15,10.66,45,0.15,0.6,90,-6.1
CVnII,194.2916667,34.32083333,2.5,16.95,12.81,-129,0.16,0.11,70,-4.1
LeoIV,173.2375,-0.533333333,7.3,16.9,12.7,132,0.16,0.34,48,-4.2
PiscesII,344.6291667,5.9525,1.8,17.2,12.84,,0.18,0.1,59,-4.4
LeoV,172.79,2.22,4.1,17.6,13.39,173,0.18,0.21,90,-3.8
LeoII,168.3716667,22.15472222,12.02,12.61,8.45,86,0.21,0.75,36,-9.1
CVnI,202.0145833,33.55583333,14.3,13.94,9.79,31,0.22,0.93,70,-7.9
LeoI,152.1120833,12.30805556,9.77,11.18,6.93,283,0.25,0.73,42,-11
LeoT,143.7225,17.05138889,2.09,16.5,14.03,39,0.42,0.26,51,-6.7
Phoenix,27.77625,-44.44472222,5.5,13.72,11.31,-52,0.44,0.71,35,-9.6
MESSIER032,10.67541667,40.86638889,8.91,8.89,5.1,-202,0.49,1.33,53,-14.8
NGC6822,296.2404167,-14.80305556,19.05,9.31,6,-57,0.5,3.44,33,-15.2
And XVI,14.87416667,32.37666667,1.78,15.7,11.33,-385,0.52,0.29,31,-8.2
And XXIV,19.625,46.36611111,3.3,17.2,12.78,-128,0.6,0.63,52,-7
NGC0185,9.741666667,48.33611111,12.3,9.99,6.56,-203,0.61,2.76,39,-14.7
Bol520,12.67666667,32.91638889,0.2,16.28,13.31,-312,0.63,0.04,33,-8.1
And X,16.64041667,44.80444444,2.1,16.7,12.1,-164,0.63,0.45,79,-7.9
And II,19.12416667,33.41916667,2.82,15.1,10.75,-194,0.65,0.57,45,-9.2
And XXVIII,338.1716667,31.21611111,1.7,16.7,12.27,,0.65,0.34,56,-7.7
LGS 3,15.97916667,21.885,2.4,15,12.49,-286,0.65,0.46,64,-9.3
IC0010,5.102083333,59.29166667,6.76,11.78,6.51,-346,0.66,2.85,33,-16
And XXX,9.145416667,49.64666667,,,,-141,0.68,,,
And XIV,12.89583333,29.69694444,2.7,16.9,12.56,-481,0.73,0.61,60,-7.7
And XXIII,22.34083333,38.71888889,7.3,15.1,10.74,-243,0.73,1.65,71,-9.5
And XI,11.58333333,33.80138889,1.1,18.5,14.08,-419,0.73,0.26,39,-6.2
And I,11.41666667,38.03722222,2.88,13.9,9.59,-376,0.73,0.65,48,-10.7
IC1613,16.19916667,2.133333333,19.05,9.88,7.43,-232,0.73,4.11,29,-14.5
And XXIX,359.7316667,30.75555556,2.7,17,12.72,,0.73,0.59,60,-7.5
And XVII,9.279166667,44.32222222,1.9,17.7,13.31,-251,0.74,0.44,43,-7
And III,8.890833333,36.49777778,3.63,15.2,11.01,-346,0.75,0.79,90,-9.3
And XV,18.57791667,38.1175,1.9,15.9,11.62,-323,0.76,0.44,39,-8.7
NGC0147,8.298333333,48.50777778,13.49,10.36,7.2,-193,0.76,3.63,70,-14.8
And XXVI,5.94,47.91611111,1.6,18.4,13.88,-261,0.76,0.4,52,-6.5
Pegasus,352.1420833,14.74666667,5.5,13.21,9.87,-184,0.76,1.26,68,-11.5
MESSIER031,10.68541667,41.26916667,190.55,4.29,0.99,-296,0.77,43.45,78,-21.4
Cetus,6.545833333,-11.04444444,4.79,14.4,10.19,-87,0.78,1.1,55,-10.2
And XXII,21.91666667,28.09027778,1.4,18.8,14.4,-127,0.79,0.35,90,-6
And IX,13.22,43.2,4,16.7,12.3,-216,0.79,1,52,-8.1
Cas dSph,351.6325,50.67555556,3.02,13.65,8.79,-307,0.79,0.89,36,-11.7
And XX,1.877916667,35.13222222,0.8,19,14.67,-456,0.8,0.2,58,-5.8
And XXV,7.537083333,46.85194444,4.8,15.9,11.42,-108,0.81,1.27,52,-9.1
And V,17.57125,47.62805556,2.4,15.92,11.33,-403,0.81,0.66,43,-9.2
LeoA,149.86,30.74638889,5.75,12.92,10.49,24,0.81,1.35,61,-11.7
NGC0205,10.09375,41.68638889,19.5,8.72,5.59,-221,0.82,4.92,64,-16.1
Peg dSph,357.9433333,24.58611111,3.98,14.17,9.81,-345,0.82,1,73,-10.7
And XII,11.8625,34.37472222,1.9,18.7,14.15,-556,0.83,0.53,31,-6.4
And XXVII,9.362916667,45.38694444,2.8,17.6,13.19,-535,0.83,0.73,71,-7.3
And XIII,12.9625,33.00444444,1.3,18.2,13.78,-195,0.84,0.35,52,-6.8
MESSIER033,23.46166667,30.66027778,69.18,6.27,4.1,-182,0.85,17.38,54,-18.8
And XXI,358.69875,42.47083333,5.5,15.8,11.33,-361,0.86,1.53,45,-9.3
Tucana,340.4541667,-64.42,2.88,15.7,11.47,194,0.88,0.73,90,-9.2
And XIX,4.88375,35.04361111,6.2,16.8,12.45,-111,0.93,1.81,41,-8.3
DDO210,311.7158333,-12.84805556,2.63,14,11.29,-140,0.94,0.73,72,-11.1
WLM,0.492083333,-15.46111111,11.48,11.03,9,-122,0.97,3.21,90,-14.1
Sag dIr,292.4958333,-17.67805556,2.88,14.12,12.13,-79,1.04,0.97,50,-11.5
SexA,152.7533333,-4.692777778,5.89,11.86,10.18,324,1.32,2.34,38,-13.9
Antlia,151.0166667,-27.33194444,2,16.19,12.73,362,1.32,0.81,47,-9.8
NGC3109,150.78,-26.16,19.95,10.39,7.5,403,1.32,7.66,83,-15.7
And XVIII,0.560416667,45.08888889,1.4,17,12.49,-332,1.36,0.63,10,-9.1
UGC04879,139.0091667,52.84,3.24,13.8,11.5,-25,1.36,1.27,66,-11.9
SexB,150.0004167,5.332222222,6.03,11.85,9.5,300,1.36,2.41,53,-14
HIZSS003,105.1220833,-4.208333333,0.5,18,11.39,298,1.67,0.66,62,-12.8
KKR25,243.4483333,54.37111111,1.1,17,12.86,-79,1.86,0.59,63,-9.4
ESO410-005,3.880833333,-32.18,1.62,14.9,12.5,36,1.92,0.91,45,-11.6
ESO294-010,6.63875,-41.85555556,1.51,15.53,14.08,107,1.92,0.84,58,-10.9
IC5152,330.6745833,-51.29527778,7.08,11.03,7.97,122,1.97,4.07,60,-15.6
UGC08245,197.1425,78.93694444,2.14,14.75,12.2,-58,1.99,1.23,90,-11.9
LeoP,155.4379167,18.08805556,0.55,17.2,14.75,262,2,0.32,68,-9.4
KK258,340.1829167,-30.79972222,1.7,16.3,12.15,,2,0.98,90,-10.3
GR8,194.6683333,14.2175,1.66,14.79,12.9,217,2.13,1.05,27,-12
NGC0055,3.785416667,-39.22027778,37.15,8.84,6.25,129,2.13,21.71,84,-18.4
KK230,211.7945833,35.06027778,0.76,17.5,14.55,63,2.14,0.47,38,-9.2
NGC0300,13.72291667,-37.6825,25.7,8.95,6.38,146,2.15,16.05,45,-17.9
UGCA438,351.6145833,-32.39055556,2.14,13.89,11.04,62,2.18,1.36,41,-12.9
DDO187,213.9854167,23.05527778,1.7,14.38,12.46,160,2.2,1.1,46,-12.4
IC3104,184.6920833,-79.72611111,3.72,13.65,9.26,429,2.27,3.44,76,-14.8
IC4662,266.77625,-64.64027778,2.82,11.74,8.53,302,2.44,2.09,65,-15.5
KKH98,356.3916667,38.71777778,1.05,16.7,13.82,-132,2.45,0.82,67,-10.8
KKH86,208.64,4.243055556,0.85,16.88,14.09,287,2.59,0.65,51,-10.3
DDO099,177.7208333,38.88055556,4.27,13.7,11.86,251,2.64,3.23,90,-13.5
LV J1213+2957,183.4516667,29.95888889,0.47,17.4,14.98,225,2.68,0.37,51,-9.8
UGC08508,202.685,54.91,2.14,14.12,11.57,56,2.69,1.66,63,-13.1
UGC06757,176.74625,61.335,1.1,16.3,13.82,82,2.73,0.88,67,-11
DDO190,216.18125,44.52583333,2.4,13.1,10.72,150,2.74,1.92,30,-14.1
DDO125,186.9241667,43.49388889,3.89,12.95,10.23,206,2.74,3.09,66,-14.3
Dw1,44.23375,58.91166667,2,15.01,5.17,112,2.8,6.3,52,-18.8
Maffei2,40.47708333,59.60305556,3.8,14.77,4.5,-15,2.8,14.28,63,-20.1
NGC4190,183.4358333,36.63333333,2.14,13.5,10.79,235,2.82,1.79,32,-13.9
KDG090,183.74125,36.21888889,1.55,15.86,13.43,,2.86,1.31,33,-11.5
NGC4214,183.9120833,36.3275,8.51,10.24,8.14,291,2.94,7.34,39,-17.2
NGC4163,183.0370833,36.16944444,2.19,13.63,10.88,162,2.94,1.89,37,-13.8
UGCA086,59.95625,67.12527778,4.47,13.5,8.17,72,2.96,9.14,47,-17.9
KKH11,36.14583333,56.01166667,1.66,16.2,11.74,296,3,2.24,68,-13.3
KKH12,36.8625,57.48777778,1.7,17.8,11.79,70,3,2.97,90,-13
MB3,43.93166667,58.86166667,1.58,19.38,10.93,59,3,4.47,90,-13.7
Dw2,43.53541667,59.00527778,1,17.97,10.22,94,3,2.55,90,-14.6
MB1,38.89833333,59.37972222,1.07,17.8,10.46,190,3,2.25,87,-13.8
HIZSS021,116.56875,-28.46972222,0.8,17.5,11.13,494,3,1.76,57,-14.3
Maffei1,39.14791667,59.655,2.69,13.47,5.55,66,3.01,10.48,39,-19
UGCA092,68.00125,63.61388889,2,15.22,11,-95,3.01,3.56,72,-15.6
DDO181,204.9741667,40.73916667,2.4,14.22,11.85,214,3.01,2.06,65,-13.2
NGC3741,174.0266667,45.28527778,1.48,14.38,12.26,229,3.03,1.3,67,-13.1
NGC0404,17.36208333,35.7175,3.47,11.21,7.53,-50,3.05,3.25,20,-16.5
NGC1569,67.70458333,64.84805556,3.98,11.79,7.5,-86,3.06,5.77,60,-18.1
UGC08833,208.7029167,35.8375,1.17,15.3,12.31,221,3.08,1.06,30,-12.2
ESO274-001,228.55625,-46.8125,13.49,11.7,8.36,524,3.09,14.06,90,-17.6
UGCA105,78.56291667,62.58083333,5.5,12.14,8.2,113,3.15,6.62,51,-16.8
KK35,56.3025,67.86388889,2.51,15.7,11.06,-66,3.16,3.91,54,-14.3
HIPASS J1247-77,191.8858333,-77.58361111,0.66,18,13.5,413,3.16,1.18,75,-12.7
NGC2403,114.2141667,65.59944444,28.18,8.8,6.19,125,3.18,26.46,57,-19.2
ESO321-014,183.4566667,-38.23138889,1.41,15.21,12.7,609,3.18,1.38,83,-12.7
DDO044,113.5470833,66.88611111,2.82,15.64,11.37,213,3.19,2.72,62,-12.1
NGC2366,112.2275,69.20527778,7.24,11.68,9.14,96,3.19,6.68,90,-16.1
UGC04483,129.2625,69.77527778,1.32,14.95,13.33,156,3.21,1.24,64,-12.7
ESO349-031,2.055416667,-34.57833333,1.23,15.71,13.02,221,3.21,1.15,39,-11.9
DDO183,207.7129167,38.02111111,2.4,14.45,12.04,188,3.22,2.18,90,-13.2
IC0342,56.70375,68.09583333,21.38,9.37,4.57,29,3.28,34.25,25,-20.7
Cas1,31.53291667,69.01,2.19,15.29,9.34,35,3.3,5.39,45,-16.7
CamB,73.27875,67.09916667,1.48,16.71,13.36,78,3.34,1.71,72,-11.9
DDO006,12.45541667,-21.01611111,2.29,15.3,13.26,292,3.34,2.18,90,-12.4
HolmII,124.7666667,70.71416667,8.91,11.1,8,157,3.39,9,34,-16.7
[CKT2009]d0944+71,146.1433333,71.4825,0.89,16.7,12.47,,3.39,0.89,60,-11.1
KKH37,101.9408333,80.12388889,1.15,16.4,13.75,11,3.39,1.2,55,-11.6
FM1,146.2916667,68.765,0.89,17.5,13.12,,3.4,0.96,33,-10.5
KDG002,12.33791667,-18.07444444,1.23,16.37,13.93,224,3.4,1.24,26,-11.4
NGC5237,204.4120833,-42.8475,2,13.23,9.85,361,3.4,2.14,37,-14.9
ESO325-011,206.2533333,-41.85888889,3.16,14.02,11.32,544,3.4,3.3,75,-14
NGC5102,200.4908333,-36.62972222,13.49,10.28,6.92,464,3.4,13.44,90,-18.1
ESO540-032,12.6025,-19.90694444,1.51,16.44,14.01,228,3.42,1.53,26,-11.3
NGC1560,68.20791667,71.88111111,9.77,12.11,9.26,-36,3.45,10.84,90,-16.7
ESO383-087,207.3283333,-36.06138889,5.62,11,8.2,326,3.45,5.98,37,-17
NGC5206,203.4329167,-48.15111111,3.72,11.62,8.48,583,3.47,4.35,37,-16.6
KK77,147.5416667,67.50666667,2.4,16.3,11.63,,3.48,2.89,52,-12
ESO269-037,195.89,-46.58416667,1.2,16.29,13.42,744,3.48,1.36,47,-12
KKH22,56.23583333,72.06444444,1.05,18,14.13,,3.5,1.49,70,-11.4
KDG063,151.2804167,66.555,1.91,16.01,11.53,-129,3.5,2.18,34,-12.1
MESSIER082,148.9745833,69.6825,11.48,9.06,4.67,183,3.53,13.16,69,-19.6
KDG052,125.9833333,71.02944444,1.26,16.35,13.63,116,3.55,1.32,26,-11.5
HIPASS J0630+08,97.5375,8.376944444,,,,367,3.55,,,
NGC2976,146.815,67.91361111,5.75,11.01,7.53,6,3.56,6.17,64,-17.1
DDO053,128.5270833,66.17916667,2,14.55,12.77,19,3.56,2.13,33,-13.4
NGC5253,204.9825,-31.64,6.92,10.87,8.29,407,3.56,7.27,69,-17.1
PGC051659,217.0154167,-46.30166667,1.86,15.2,12.34,391,3.58,2.11,90,-13.1
KK211,205.5233333,-45.205,1.2,16.32,11.78,600,3.58,1.41,34,-11.9
ClumpIII,150.1683333,68.66027778,0.1,19.8,17.17,-121,3.6,0.11,20,-8.3
[CKT2009]d0959+68,149.8879167,68.65694444,0.79,18,15.36,-186,3.6,0.88,52,-10.1
KDG061,149.26125,68.59166667,1.41,15.24,10.86,221,3.6,1.55,64,-12.9
ClumpI,149.3383333,68.71527778,0.18,19.8,17.17,-165,3.6,0.2,50,-8.3
ESO174-001,206.9904167,-53.35111111,2.45,14.2,11.5,686,3.6,3.94,83,-15.7
ESO270-017,203.6970833,-45.5475,15.85,11.71,8.2,827,3.6,16.92,90,-17.1
KK203,201.8670833,-45.3525,0.5,17.7,14.95,,3.6,0.58,9,-10.5
[KK2000] 51,191.0895833,-42.93972222,0.55,17.3,14.6,,3.6,0.6,81,-10.9
NGC5011C,198.2995833,-43.26555556,1.17,14.21,11.24,647,3.6,1.35,56,-14.1
[KK2000] 53,197.8091667,-38.90611111,0.79,17.3,12.85,,3.6,0.93,36,-10.9
[KK2000] 58,206.5033333,-36.32888889,0.93,17.41,13.06,,3.6,1.04,58,-10.6
HolmIX,149.385,69.04305556,2.63,14.53,11.86,50,3.61,2.96,41,-13.6
UGCA292,189.6666667,32.76666667,1.02,16.07,14.24,308,3.61,1.08,52,-11.8
MESSIER081,148.8895833,69.06666667,28.18,7.79,3.83,-38,3.63,31.35,62,-20.9
[CKT2009]d0939+71,144.81625,71.31166667,0.35,19.6,17.09,,3.63,0.38,35,-8.4
NGC6789,289.1741667,63.97277778,1.41,13.76,11.2,-140,3.63,1.58,45,-14.3
KK213,205.8991667,-43.76916667,0.48,18,13.52,,3.63,0.56,90,-10.2
NGC0247,11.78458333,-20.76,25.12,9.86,7.43,161,3.65,25.91,74,-18.5
[CKT2009]d0934+70,143.5154167,70.21583333,0.59,19.3,14.18,,3.66,0.87,37,-9.6
CenN,207.0383333,-47.565,0.76,17.5,12.84,,3.66,0.96,48,-10.9
UGC05497,153.2016667,64.1075,0.89,15.6,13.18,150,3.7,0.96,48,-12.3
KDG064,151.7579167,67.8275,1.95,15.52,11.19,-15,3.7,2.19,90,-12.6
KDG073,163.2379167,69.54583333,1.2,17.09,14.73,116,3.7,1.29,38,-10.8
HIJASS J1021+6842,155.2508333,68.7,,,,46,3.7,,,
DDO078,156.61625,67.65666667,2,16.5,12.29,55,3.72,2.23,22,-11.5
KKH6,23.715,52.09166667,0.87,17,13.73,60,3.73,1.29,62,-12.4
ESO324-024,201.9058333,-41.48055556,3.31,12.91,10.35,514,3.73,3.93,44,-15.5
IKN,152.0245833,68.39916667,2.69,16.5,12.16,-140,3.75,3.15,39,-11.6
NGC5128,201.3704167,-43.01666667,34.67,7.84,3.94,556,3.75,42.65,45,-20.8
F8D1,146.2083333,67.47555556,2.19,15.7,11.22,-125,3.77,2.7,29,-12.6
BK5N,151.1679167,68.25555556,0.79,17.53,13.2,,3.78,0.93,52,-10.6
NGC2915,141.5479167,-76.62638889,2,13.2,9.7,467,3.78,2.77,69,-16.1
NGC4945,196.35875,-49.47111111,28.18,9.28,4.49,563,3.8,34.38,86,-20.5
ESO269-058,197.6370833,-46.99083333,4.68,13.29,9.04,400,3.8,5.6,62,-15.1
GARLAND,150.925,68.69333333,3.98,16.8,14.18,43,3.82,4.61,62,-11.4
NGC3077,150.8375,68.73388889,6.46,10.62,7.32,19,3.82,7.58,38,-17.6
ESO269-066,198.2883333,-44.89,2.14,14.59,10.12,784,3.82,2.58,34,-13.7
HolmI,145.1345833,71.18638889,4.57,13.64,11.2,139,3.84,5.29,40,-14.5
KK217,206.5716667,-45.68472222,0.65,17.57,12.99,,3.84,0.83,41,-10.9
BK6N,158.6329167,66.01166667,1.1,16.9,12.75,,3.85,1.23,66,-11.1
[CKT2009]d1006+67,151.6925,67.20111111,0.32,19.7,15.32,,3.87,0.39,17,-8.6
A0952+69,149.3708333,69.27222222,1.82,16.8,14.11,99,3.87,2.17,69,-11.5
KK197,200.5075,-42.53555556,1.58,15.68,10.98,,3.87,2.15,48,-12.9
UGC06541,173.37125,49.23805556,1.74,14.44,11.85,249,3.89,1.96,65,-13.6
NGC0625,23.77083333,-41.43638889,7.08,11.59,8.9,395,3.89,7.73,76,-16.4
KKH57,150.0666667,63.185,0.6,17.87,13.69,,3.91,0.7,41,-10.2
[CKT2009]d1041+70,160.32,70.15083333,0.35,19.6,16.98,,3.91,0.41,62,-8.7
NGC7793,359.4558333,-32.59,14.13,9.72,6.85,227,3.91,16.09,48,-18.5
CamA,66.315,72.80583333,3.72,14.84,11.64,-54,3.93,5.07,65,-14.1
[CKT2009]d0955+70,148.8066667,70.40805556,0.35,19.5,14.81,,3.93,0.48,36,-9.1
[CKT2009]d0926+70,141.61625,70.50666667,0.4,19,15.74,,3.93,0.56,47,-10
[KK2000] 57,205.40875,-42.58194444,0.55,18.1,13.64,,3.93,0.7,36,-10.3
NGC0253,11.89291667,-25.29222222,37.15,7.92,3.77,243,3.94,40.83,85,-21.3
[KK2000] 55,200.5516667,-42.73083333,0.79,18.5,13.82,,3.94,1.09,34,-10.1
HS117,155.355,71.11611111,1.51,17.3,14.5,-37,3.96,1.9,62,-11.2
[CKT2009]d0944+69,146.09375,69.21111111,0.2,21,16.52,,3.98,0.26,10,-7.4
KK27,50.2625,-66.31972222,1.17,16.5,13.85,533,3.98,1.4,90,-11.8
KK196,200.44625,-45.06333333,0.87,16.14,13.46,741,3.98,1.08,45,-12.2
KK221,207.1933333,-46.99694444,1.51,17.3,14.4,507,3.98,1.96,55,-11.3
[CKT2009]d1028+70,157.1654167,70.23361111,0.71,16.2,13.69,-114,4,0.85,45,-12
DDO082,157.6458333,70.61944444,3.39,13.49,10.29,56,4,4.02,63,-14.7
BK3N,148.4520833,68.96916667,0.32,18.78,16.11,-40,4.02,0.4,41,-9.6
IC2574,157.0933333,68.41611111,13.18,10.8,7.95,43,4.02,15.39,67,-17.5
[CKT2009]d0958+66,149.7020833,66.84972222,0.87,16,13.41,90,4.04,1.06,64,-12.3
DDO154,193.5216667,27.14861111,2.14,14.1,12.33,374,4.04,2.5,49,-14
[CKT2009]d1015+69,153.77875,69.0375,0.25,20.5,16.21,,4.07,0.31,13,-7.8
LV J1228+4358,187.1870833,43.97166667,3.98,14.2,11.77,,4.07,4.56,90,-13.9
NGC1313,49.56416667,-66.4975,12.59,9.66,7.57,470,4.07,16.37,37,-19
[KK2000] 03,36.17791667,-73.51277778,2.45,16,10.83,,4.1,3.01,90,-12.3
UGC01703,33.2325,32.81416667,0.79,17,12.52,,4.19,1.05,72,-11.5
DDO167,198.345,46.31972222,1.1,15.45,13.45,150,4.19,1.32,67,-12.7
DDO169NW,198.83375,47.54361111,0.78,18,15.61,242,4.2,0.94,51,-10.2
CIRCINUS,213.28875,-65.33916667,6.92,12.12,5.28,434,4.2,20.28,69,-20.7
NGC4449,187.0466667,44.09444444,6.76,9.99,7.25,201,4.21,8.3,45,-18.3
UGC07298,184.1191667,52.22722222,0.85,15.95,13.29,174,4.21,1.04,67,-12.3
Sc22,5.965416667,-24.705,0.93,17.73,13.57,,4.21,1.15,48,-10.5
KK189,198.1875,-41.83194444,0.6,17.75,13.2,,4.21,0.84,62,-10.9
ESO490-017,99.48583333,-25.99972222,1.7,14.01,12,505,4.23,2.22,46,-14.5
KKH5,16.88541667,51.44027778,0.87,17.1,13.63,61,4.27,1.38,60,-12.3
UGC08638,204.8308333,24.77583333,1.66,14.47,11.53,276,4.27,2.05,55,-13.7
UGCA442,355.9416667,-31.95916667,6.31,13.6,11.42,267,4.27,7.35,90,-14.7
ESO219-010,194.04,-50.14388889,0.68,16.42,11.44,,4.29,1.11,47,-12.7
KK160,190.9891667,43.66138889,0.59,17.43,14.98,293,4.31,0.75,47,-10.9
NGC4068,181.01,52.58861111,2.95,13.19,10.76,210,4.31,3.67,69,-15.1
DDO168,198.6191667,45.91944444,3.89,12.97,11.11,191,4.33,4.79,90,-15.3
UGC06456,172.0025,78.99138889,1.48,14.27,12.48,-94,4.35,1.89,69,-14.1
NGC4826,194.1841667,21.68472222,13.8,9.3,5.33,409,4.37,17.75,63,-19.5
HIDEEP J1337-33,204.2525,-33.36305556,0.2,17.3,14.76,591,4.37,0.26,20,-11.1
KK180,196.1245833,17.75888889,0.89,17.3,13.11,,4.4,1.15,55,-11
KK177,195.6745833,21.9975,0.78,17.4,13.15,,4.4,1.03,28,-11
DDO169,198.8779167,47.49638889,2.95,14.46,12.17,262,4.41,3.65,90,-13.8
IC4316,205.0754167,-28.89444444,2.04,14.56,10.96,576,4.41,2.71,59,-13.9
KKH18,45.77458333,33.69444444,0.71,16.7,13.56,216,4.43,1.07,65,-12.4
LV J0913+1937,138.4125,19.61888889,0.54,17.4,14.88,445,4.43,0.7,79,-11
UGC07605,187.1625,35.71805556,1.48,14.76,12.4,310,4.43,1.91,49,-13.5
ESO245-005,26.265,-43.59805556,3.8,12.7,10.26,393,4.43,4.95,30,-15.6
NGC4236,184.1804167,69.46555556,21.88,10.05,7.5,-3,4.45,27.39,73,-18.6
NGC4244,184.3745833,37.8075,19.5,10.88,7.72,247,4.49,23.76,90,-18.2
KK109,176.7966667,43.67194444,0.45,18.1,15.68,211,4.51,0.59,55,-10.3
NGC5238,203.6779167,51.61388889,2.09,13.55,11.5,229,4.51,2.75,39,-14.8
UGC00685,16.84291667,16.68388889,2.4,14.22,11.64,156,4.51,3.28,51,-14.3
ESO384-016,209.2566667,-35.33388889,1.32,15.11,12,561,4.53,1.83,53,-13.5
NGC5264,205.4041667,-29.91388889,3.47,12.6,9.5,478,4.53,4.69,54,-15.9
UGC08215,197.015,46.82805556,0.85,16.03,13.64,224,4.55,1.12,52,-12.3
[CKT2009]d1014+68,153.7325,68.7575,0.2,20.2,15.92,,4.57,0.28,29,-8.3
IC3687,190.5629167,38.50194444,5.13,13.79,11.12,350,4.57,6.92,32,-14.6
DDO165,196.6116667,67.70416667,4.07,13.31,11.14,31,4.57,5.4,68,-15.1
ESO059-001,112.8304167,-68.18611111,2.14,13.98,11.25,530,4.57,3.23,40,-15
MCG +09-20-131,183.9445833,52.3875,1.05,15.3,12.86,159,4.59,1.36,90,-13.1
UGC07596,187.14125,8.639722222,1.58,14.9,12.47,565,4.6,2.09,83,-13.5
KK198,200.73375,-33.57277778,0.5,17.65,13.28,,4.6,0.73,41,-11
KK218,206.6645833,-29.97916667,0.81,17.6,13.26,,4.6,1.14,90,-11
[KK2000] 54,200.385,-31.88638889,0.66,18.13,15.51,,4.6,0.93,54,-10.5
AM1320-230,200.8745833,-23.39305556,0.69,17.53,13.11,,4.6,1,77,-11.1
KKH34,89.92166667,73.4275,0.93,17.1,13.76,106,4.61,1.55,66,-12.3
NGC4395,186.4575,33.54611111,13.18,10.64,8,313,4.61,17.83,34,-17.8
ESO444-084,204.3341667,-28.04611111,1.35,15.06,12.6,587,4.61,1.91,45,-13.6
KK200,201.15,-30.97222222,1.1,16.67,13.42,494,4.63,1.55,60,-12
NGC4736,192.7229167,41.11944444,15.14,8.7,5.11,308,4.66,20.68,38,-19.9
NGC5204,202.4016667,58.41777778,5.13,11.73,9.51,201,4.66,6.88,54,-16.8
KK208,204.1479167,-29.57083333,5.89,14.3,10.03,,4.68,8.19,90,-14.2
IC4182,196.4554167,37.60583333,6.61,12.02,9.72,321,4.7,9.12,23,-16.4
KKH78,184.4354167,33.34527778,0.45,17.7,15.3,,4.7,0.61,59,-10.7
VCC0381,184.9754167,6.665833333,0.78,16.67,14.31,480,4.71,1.06,26,-11.7
UGC11411,287.17625,70.28388889,0.79,15.6,12.8,69,4.73,1.2,52,-13.3
KK166,192.3054167,35.6125,0.6,17.62,13.47,,4.74,0.83,73,-10.8
NGC5408,210.8395833,-41.37638889,2.82,12.2,10.5,502,4.81,4.06,87,-16.5
MCG +06-27-017,182.485,36.43527778,0.95,15.5,12,339,4.83,1.31,90,-13
HIPASS J1337-39,204.3545833,-39.89777778,0.52,16.5,13.8,492,4.83,0.78,38,-12.2
DDO133,188.2208333,31.53916667,3.55,13.53,11.12,330,4.85,5.01,53,-15
DDO126,186.77125,37.1425,2.88,14.12,11.53,217,4.88,4.07,59,-14.4
ESO379-024,181.23625,-35.74305556,0.74,16.58,13.93,632,4.88,1.12,47,-12.2
KK17,30.04125,28.8325,1,17.2,14.24,168,4.9,1.46,72,-11.5
NGC3738,173.9525,54.52277778,3.39,11.87,9.61,225,4.9,4.82,49,-16.7
FG202,106.32125,-58.52055556,1.95,14.95,12.13,564,4.9,3.01,76,-14
DDO226,10.76583333,-22.25027778,2.24,14.9,12.48,359,4.92,3.12,90,-13.6
NGC5236,204.2504167,-29.86777778,18.62,8.2,4.62,519,4.92,28.19,28,-20.6
UGC01281,27.38458333,32.5925,5.62,12.87,10.5,157,4.94,7.88,85,-16.1
NGC0784,30.32,28.84361111,6.61,12.22,10.29,193,4.97,9.52,79,-16.5
